channel_id,channel_label,strategy,timeframe_minutes,signal_time_utc,entry_time_utc,exit_time_utc,direction,entry_price,stop_price,target_price,exit_price,stop_distance,gross_r,fee_r,net_r,win,exit_reason,holding_5m_bars,signal_atr,signal_adx,signal_rsi,month,phase
15m_trend_pullback,15分钟趋势回踩,trend_pullback,15,2025-08-25T00:30:00+00:00,2025-08-25T00:30:00+00:00,2025-08-25T02:25:00+00:00,-1,113029.1,113537.72739776043,112011.84520447915,113537.92739776043,508.62739776043094,-1.0003932151529302,0.22272397082360473,-1.2231171859765348,False,STOP,23,423.8561648003591,31.369748308588218,42.25212080745747,2025-08,development
15m_trend_pullback,15分钟趋势回踩,trend_pullback,15,2025-08-25T04:00:00+00:00,2025-08-25T04:00:00+00:00,2025-08-25T06:50:00+00:00,-1,112867.6,113326.59554921334,111949.60890157335,111949.80890157334,458.995549213328,1.9995642659273383,0.2449015129742409,1.7546627529530974,True,TARGET,34,382.4962910111067,20.234564104672465,43.27911514531422,2025-08,development
15m_trend_pullback,15分钟趋势回踩,trend_pullback,15,2025-08-25T13:45:00+00:00,2025-08-25T13:45:00+00:00,2025-08-25T13:55:00+00:00,-1,110785.5,111224.13211163525,109908.23577672952,111224.33211163525,438.63211163524215,-1.0004559629691898,0.2530706555933304,-1.2535266185625202,False,STOP,2,365.5267596960351,32.95305746872883,34.051600052156346,2025-08,development
15m_trend_pullback,15分钟趋势回踩,trend_pullback,15,2025-08-26T02:30:00+00:00,2025-08-26T02:30:00+00:00,2025-08-26T07:35:00+00:00,-1,109798.6,110372.81484055969,108650.17031888064,110373.01484055968,574.2148405596798,-1.0003483016910606,0.1917153644322056,-1.1920636661232662,False,STOP,61,478.51236713306656,43.25656518759972,45.23207637703715,2025-08,development
15m_trend_pullback,15分钟趋势回踩,trend_pullback,15,2025-08-27T05:15:00+00:00,2025-08-27T05:15:00+00:00,2025-08-27T06:10:00+00:00,1,111539.0,111225.12091082758,112166.75817834483,111224.92091082758,313.87908917241555,-1.0006371880348228,0.35485626248338914,-1.355493450518212,False,STOP,11,261.5659076436796,23.50083597467187,57.14586857696256,2025-08,development
15m_trend_pullback,15分钟趋势回踩,trend_pullback,15,2025-08-27T09:45:00+00:00,2025-08-27T09:45:00+00:00,2025-08-27T10:20:00+00:00,-1,110855.1,111123.98735616324,110317.32528767355,111124.18735616324,268.8873561632288,-1.0007438058927631,0.41277375500953295,-1.413517560902296,False,STOP,7,224.07279680269068,25.120788167374023,45.5613631704854,2025-08,development
15m_trend_pullback,15分钟趋势回踩,trend_pullback,15,2025-08-27T13:00:00+00:00,2025-08-27T13:00:00+00:00,2025-08-27T13:35:00+00:00,1,111288.7,111023.49929815924,111819.10140368152,111023.29929815924,265.2007018407592,-1.000754145817149,0.41913916093564363,-1.4198933067527926,False,STOP,7,221.00058486729938,18.4675628247513,57.471844414189626,2025-08,development
15m_trend_pullback,15分钟趋势回踩,trend_pullback,15,2025-08-27T13:45:00+00:00,2025-08-27T13:45:00+00:00,2025-08-27T14:30:00+00:00,1,111509.5,111188.35971503494,112151.78056993014,112151.58056993014,321.1402849650679,1.999377219211175,0.3482295604773766,1.6511476587337983,True,TARGET,9,267.6169041375566,19.746561767789483,61.26190970652718,2025-08,development
15m_trend_pullback,15分钟趋势回踩,trend_pullback,15,2025-08-27T15:45:00+00:00,2025-08-27T15:45:00+00:00,2025-08-27T20:25:00+00:00,1,111749.2,111306.33059872258,112634.93880255485,111306.13059872258,442.86940127742656,-1.0004516004027708,0.25182969285678203,-1.2522812932595528,False,STOP,56,369.05783439785546,29.826740310002307,58.12724666699634,2025-08,development
15m_trend_pullback,15分钟趋势回踩,trend_pullback,15,2025-08-27T20:30:00+00:00,2025-08-27T20:30:00+00:00,2025-08-27T21:55:00+00:00,1,112029.7,111516.85324378224,113055.39351243552,111516.65324378225,512.8467562177577,-1.0003899800429046,0.21794654108025904,-1.2183365211231636,False,STOP,17,427.3722968481315,25.326119510688045,53.70091768191384,2025-08,development
