expert,family,policy_key,tier,month,raw_candidates,model_available,calibration_month,calibration_rows,calibration_brier,meta_brier,avg_win_r,avg_loss_r,sample_uncertainty_penalty,calibration_mean,calibration_utility_mean,eval_mean,eval_utility_mean,after_rank,meta_support,meta_neutral,meta_reject,after_soft_meta,after_positive_utility,after_cap
资金费率极端回归空头,衍生品反转,b02aa80e33f81c12,REJECTED,2025-06,420,True,2025-05,503.0,0.18214996855266882,0.1828777012147014,1.6926277437496142,0.8919355562329164,0.024523287913724042,0.24453685888440446,-0.327076653461098,0.2358554828397643,-0.344384239416109,66.0,0.0,0.0,66.0,0.0,0.0,0.0
资金费率极端回归空头,衍生品反转,b02aa80e33f81c12,REJECTED,2025-07,180,True,2025-06,420.0,0.18325562526777092,0.1886875901790065,1.6974004203163306,0.8426824892946165,0.026837252006084666,0.264347311328009,-0.24090884880087937,0.25699868782043933,-0.2564520991543182,28.0,0.0,17.0,11.0,17.0,12.0,1.0
资金费率极端回归空头,衍生品反转,b02aa80e33f81c12,REJECTED,2025-08,374,True,2025-07,180.0,0.14971440433147862,0.14935919148645468,1.6974300079239375,0.7907695565884942,0.040994579587496145,0.18331495844931117,-0.41432588125941694,0.18260341550158196,-0.4150911736692323,53.0,0.0,0.0,53.0,0.0,0.0,0.0
资金费率极端回归空头,衍生品反转,b02aa80e33f81c12,REJECTED,2025-09,419,True,2025-08,374.0,0.15210317626017344,0.1519221337935942,1.6974681249062922,0.8916053810422878,0.028439822949726055,0.18713728840001498,-0.4745141156841582,0.18572614426950232,-0.47772316694257155,63.0,0.0,0.0,63.0,0.0,0.0,0.0
资金费率极端回归空头,衍生品反转,b02aa80e33f81c12,REJECTED,2025-10,452,True,2025-09,419.0,0.19214509305171815,0.193037832393177,1.6974339638830254,0.8431735919730177,0.026869258281031736,0.26253173770823407,-0.24689993370637414,0.26575359772397267,-0.24156644003136038,92.0,0.0,0.0,92.0,0.0,0.0,0.0
资金费率极端回归空头,衍生品反转,b02aa80e33f81c12,REJECTED,2025-11,395,True,2025-10,452.0,0.1565973952784159,0.1584834565374062,1.6992042389904538,0.9310688415148066,0.025869823880548926,0.1991685993475539,-0.472664932225534,0.20728570257062098,-0.4573636402241102,104.0,0.0,0.0,104.0,0.0,0.0,0.0
资金费率极端回归空头,衍生品反转,b02aa80e33f81c12,REJECTED,2025-12,459,True,2025-11,395.0,0.19016588301767376,0.18900624600257923,1.7129359167959115,0.881933808103291,0.02767350329846452,0.255702633032598,-0.28970147779555877,0.25572354084811366,-0.2892485951670042,106.0,0.0,0.0,106.0,0.0,0.0,0.0
资金费率极端回归空头,衍生品反转,b02aa80e33f81c12,REJECTED,2026-01,394,True,2025-12,459.0,0.18659504012508776,0.1865229305479359,1.704786149273845,0.8710596588003293,0.025671801540513517,0.24836516412496545,-0.30017533125448387,0.2478539803268134,-0.3006862316823171,82.0,0.0,0.0,82.0,0.0,0.0,0.0
资金费率极端回归空头,衍生品反转,b02aa80e33f81c12,REJECTED,2026-02,417,True,2026-01,394.0,0.19419767618061418,0.19288709329740109,1.653117510600959,0.790189445981102,0.027708599702293314,0.2664835707043423,-0.2108355155071917,0.2697135461444224,-0.20218729477303787,99.0,0.0,9.0,90.0,9.0,0.0,0.0
资金费率极端回归空头,衍生品反转,b02aa80e33f81c12,REJECTED,2026-03,472,True,2026-02,417.0,0.20591682110911108,0.20594532024899628,1.6737554288454073,0.8044452925684795,0.02693361587809155,0.2901907954283387,-0.1575944360416003,0.289838912065745,-0.1580330317351861,108.0,0.0,0.0,108.0,0.0,0.0,0.0
